ID,T1,Year,Sensations,Manipulations,Stimuli,Grounding Methods,Stimulating Methods,Source to Mechanical Mechanism,Simple to Complex Mechanism,web,Meeting name,TITLE
41,sarakoglou2016hexotrac,2016,Shape,Pressure,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://ieeexplore.ieee.org/document/7759176,IEEE/RSJ IROS,"HEXOTRAC: A highly Under-Actuated Hand Exoskeleton for Finger Tracking and Force Feedback

Source: 2016 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS 2016) 0: 1033-1040

Date: 2016 

Document Type: Journal :  

DOI:  

Language:  

LCR: 0   CR: 11   LCS: 0   GCS: 13   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords:  

KeyWords Plus:  

Abstract: Exoskeletons offer an intuitive method for actuating multiple DOF of the body; this makes them attractive for applications where generation and coupling of artificial forces to the limbs is needed. Force feedback hand exoskeletons have been continuously considered for whole hand haptic interaction in virtual reality simulators, in teleoperation setups and for rehabilitation. In hand exoskeletons finger tracking, actuation and transmission systems must be embedded in confined spaces, matching at the same time the profound dexterity of the hand transparently and without causing a burden. Most of the design approaches for such systems have remained largely experimental due to hardware limitations, impacting heavily on important functional and ergonomic factors. This paper presents the design of a novel 3-digit hand exoskeleton, which addresses the issues of finger tracking and force feedback. It proposes a new approach for the application of the feedback force with a single attachment at the fingertip through a 6DoF kinematic chain. This kinematic linkage allows for unconstrained reach of the fingers within their full workspace and facilitates a sensor system for high resolution 6DOF tracking of the fingertips. At the same time the highly under-actuated mechanism permits application of a bidirectional feedback force at the fingertips. The hand exoskeleton fits an large range of hand sizes and requires no mechanical alignment between the linkage and the fingers, whatsoever. Preliminary results show the efficacy of this system as a tracking and force feedback device for the hand. 
"
41,sarakoglou2016hexotrac,2016,Shape,Static contact,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://ieeexplore.ieee.org/document/7759176,IEEE/RSJ IROS,"HEXOTRAC: A highly Under-Actuated Hand Exoskeleton for Finger Tracking and Force Feedback

Source: 2016 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS 2016) 0: 1033-1040

Date: 2016 

Document Type: Journal :  

DOI:  

Language:  

LCR: 0   CR: 11   LCS: 0   GCS: 13   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords:  

KeyWords Plus:  

Abstract: Exoskeletons offer an intuitive method for actuating multiple DOF of the body; this makes them attractive for applications where generation and coupling of artificial forces to the limbs is needed. Force feedback hand exoskeletons have been continuously considered for whole hand haptic interaction in virtual reality simulators, in teleoperation setups and for rehabilitation. In hand exoskeletons finger tracking, actuation and transmission systems must be embedded in confined spaces, matching at the same time the profound dexterity of the hand transparently and without causing a burden. Most of the design approaches for such systems have remained largely experimental due to hardware limitations, impacting heavily on important functional and ergonomic factors. This paper presents the design of a novel 3-digit hand exoskeleton, which addresses the issues of finger tracking and force feedback. It proposes a new approach for the application of the feedback force with a single attachment at the fingertip through a 6DoF kinematic chain. This kinematic linkage allows for unconstrained reach of the fingers within their full workspace and facilitates a sensor system for high resolution 6DOF tracking of the fingertips. At the same time the highly under-actuated mechanism permits application of a bidirectional feedback force at the fingertips. The hand exoskeleton fits an large range of hand sizes and requires no mechanical alignment between the linkage and the fingers, whatsoever. Preliminary results show the efficacy of this system as a tracking and force feedback device for the hand. 
"
42,gabardi2016new,2016,Fine roughness,Lateral motion,Vibration,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://ieeexplore.ieee.org/document/7759176,IEEE/RSJ IROS,"A New Wearable Fingertip Haptic Interface for the Rendering of Virtual Shapes and Surface Features

Source: IEEE HAPTICS SYMPOSIUM 2016 IEEE HAPTICS SYMPOSIUM 187: 140-146

Date: 2016 

Document Type: Journal :  

DOI:  

Language:  

LCR: 1   CR: 16   LCS: 0   GCS: 27   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords:  

KeyWords Plus:  

Abstract: This work presents the Haptic Thimble, a novel wearable haptic device for surface exploration. The Haptic Thimble combines rendering of surface orientation with fast transient and wide frequency bandwidth tactile cues. Such features allow surface exploration with rich tactile feedback, including reactive contact - no contact transition, rendering of collisions, surface asperities and textures. Above capabilities were obtained through a novel serial kinematics wrapped around the finger, actuated by compact servo motor for orienting the last link, and by a custom voice coil for actuating the plate in contact with the fingerpad. Performance of the voice coil were measured at the bench in static and dynamic conditions, assessing the capability of reproducing generic, wide-bandwidth (0-300 Hz) tactile cues. Overall usability of the Haptic Thimble was explored within a virtual environment involving exploration of virtual surfaces. Finally, a perceptual experiment executed in a teleoperated environment with kinesthetic feedback, showed that the addition of tactile feedback, provided through the Haptic Thimble, significantly improved performance of an exploratory task. 
"
42,gabardi2016new,2016,Fine roughness,Lateral motion,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://ieeexplore.ieee.org/document/7463168,IEEE HAPTICS,"A New Wearable Fingertip Haptic Interface for the Rendering of Virtual Shapes and Surface Features

Source: IEEE HAPTICS SYMPOSIUM 2016 IEEE HAPTICS SYMPOSIUM 187: 140-146

Date: 2016 

Document Type: Journal :  

DOI:  

Language:  

LCR: 1   CR: 16   LCS: 0   GCS: 27   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords:  

KeyWords Plus:  

Abstract: This work presents the Haptic Thimble, a novel wearable haptic device for surface exploration. The Haptic Thimble combines rendering of surface orientation with fast transient and wide frequency bandwidth tactile cues. Such features allow surface exploration with rich tactile feedback, including reactive contact - no contact transition, rendering of collisions, surface asperities and textures. Above capabilities were obtained through a novel serial kinematics wrapped around the finger, actuated by compact servo motor for orienting the last link, and by a custom voice coil for actuating the plate in contact with the fingerpad. Performance of the voice coil were measured at the bench in static and dynamic conditions, assessing the capability of reproducing generic, wide-bandwidth (0-300 Hz) tactile cues. Overall usability of the Haptic Thimble was explored within a virtual environment involving exploration of virtual surfaces. Finally, a perceptual experiment executed in a teleoperated environment with kinesthetic feedback, showed that the addition of tactile feedback, provided through the Haptic Thimble, significantly improved performance of an exploratory task. 
"
42,gabardi2016new,2016,Fine roughness,Static contact,Vibration,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://ieeexplore.ieee.org/document/7463168,IEEE HAPTICS,"A New Wearable Fingertip Haptic Interface for the Rendering of Virtual Shapes and Surface Features

Source: IEEE HAPTICS SYMPOSIUM 2016 IEEE HAPTICS SYMPOSIUM 187: 140-146

Date: 2016 

Document Type: Journal :  

DOI:  

Language:  

LCR: 1   CR: 16   LCS: 0   GCS: 27   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords:  

KeyWords Plus:  

Abstract: This work presents the Haptic Thimble, a novel wearable haptic device for surface exploration. The Haptic Thimble combines rendering of surface orientation with fast transient and wide frequency bandwidth tactile cues. Such features allow surface exploration with rich tactile feedback, including reactive contact - no contact transition, rendering of collisions, surface asperities and textures. Above capabilities were obtained through a novel serial kinematics wrapped around the finger, actuated by compact servo motor for orienting the last link, and by a custom voice coil for actuating the plate in contact with the fingerpad. Performance of the voice coil were measured at the bench in static and dynamic conditions, assessing the capability of reproducing generic, wide-bandwidth (0-300 Hz) tactile cues. Overall usability of the Haptic Thimble was explored within a virtual environment involving exploration of virtual surfaces. Finally, a perceptual experiment executed in a teleoperated environment with kinesthetic feedback, showed that the addition of tactile feedback, provided through the Haptic Thimble, significantly improved performance of an exploratory task. 
"
42,gabardi2016new,2016,Fine roughness,Static contact,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://ieeexplore.ieee.org/document/7463168,IEEE HAPTICS,"A New Wearable Fingertip Haptic Interface for the Rendering of Virtual Shapes and Surface Features

Source: IEEE HAPTICS SYMPOSIUM 2016 IEEE HAPTICS SYMPOSIUM 187: 140-146

Date: 2016 

Document Type: Journal :  

DOI:  

Language:  

LCR: 1   CR: 16   LCS: 0   GCS: 27   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords:  

KeyWords Plus:  

Abstract: This work presents the Haptic Thimble, a novel wearable haptic device for surface exploration. The Haptic Thimble combines rendering of surface orientation with fast transient and wide frequency bandwidth tactile cues. Such features allow surface exploration with rich tactile feedback, including reactive contact - no contact transition, rendering of collisions, surface asperities and textures. Above capabilities were obtained through a novel serial kinematics wrapped around the finger, actuated by compact servo motor for orienting the last link, and by a custom voice coil for actuating the plate in contact with the fingerpad. Performance of the voice coil were measured at the bench in static and dynamic conditions, assessing the capability of reproducing generic, wide-bandwidth (0-300 Hz) tactile cues. Overall usability of the Haptic Thimble was explored within a virtual environment involving exploration of virtual surfaces. Finally, a perceptual experiment executed in a teleoperated environment with kinesthetic feedback, showed that the addition of tactile feedback, provided through the Haptic Thimble, significantly improved performance of an exploratory task. 
"
43,kim2016hapthimble,2016,Fine roughness,Lateral motion,Vibration,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://ieeexplore.ieee.org/document/7463168,IEEE HAPTICS,"HapThimble: A Wearable Haptic Device towards Usable Virtual Touch Screen

Source: 34TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, CHI 2016 0: 3694-3705

Date: 2016 

Document Type: Journal :  

DOI: 10.1145/2858036.2858196

Language:  

LCR: 0   CR: 22   LCS: 5   GCS: 21   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Virtual touch screen; direct-touch interaction; wearable haptic device;haptic feedback without haptic constraint

KeyWords Plus:  

Abstract: A virtual touch screen concept using an optical see-through head-mounted display has been suggested. With a virtual touch screen, the user's direct-touch interactions are allowed in much the same way as a conventional touch screen, but the absence of haptic feedback and physical constraint leads to poor user performance. To overcome this issue, we developed a wearable haptic device, called HapThimble. It provides various types of haptic feedback (tactile, pseudoforce, and vibrotactile) to the user's fingertip and mimics physical buttons based on force-penetration depth curves. We conducted three experiments with HapThimble. The first experiment confirmed that HapThimble could increase a users' performance when conducting clicking and dragging tasks. The second experiment revealed that users could differentiate between six types of haptic feedback, rendered based on different force-penetration depth curves obtained using HapThimble. Last, we conducted a test to investigate the similarity between the physical buttons and the mimicked haptic buttons and obtained a 90.3% success rate. 
"
43,kim2016hapthimble,2016,Fine roughness,Lateral motion,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://doi.org/10.1145/2858036.2858196,ACM CHI,"HapThimble: A Wearable Haptic Device towards Usable Virtual Touch Screen

Source: 34TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, CHI 2016 0: 3694-3705

Date: 2016 

Document Type: Journal :  

DOI: 10.1145/2858036.2858196

Language:  

LCR: 0   CR: 22   LCS: 5   GCS: 21   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Virtual touch screen; direct-touch interaction; wearable haptic device;haptic feedback without haptic constraint

KeyWords Plus:  

Abstract: A virtual touch screen concept using an optical see-through head-mounted display has been suggested. With a virtual touch screen, the user's direct-touch interactions are allowed in much the same way as a conventional touch screen, but the absence of haptic feedback and physical constraint leads to poor user performance. To overcome this issue, we developed a wearable haptic device, called HapThimble. It provides various types of haptic feedback (tactile, pseudoforce, and vibrotactile) to the user's fingertip and mimics physical buttons based on force-penetration depth curves. We conducted three experiments with HapThimble. The first experiment confirmed that HapThimble could increase a users' performance when conducting clicking and dragging tasks. The second experiment revealed that users could differentiate between six types of haptic feedback, rendered based on different force-penetration depth curves obtained using HapThimble. Last, we conducted a test to investigate the similarity between the physical buttons and the mimicked haptic buttons and obtained a 90.3% success rate. 
"
43,kim2016hapthimble,2016,Fine roughness,Static contact,Vibration,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://doi.org/10.1145/2858036.2858196,ACM CHI,"HapThimble: A Wearable Haptic Device towards Usable Virtual Touch Screen

Source: 34TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, CHI 2016 0: 3694-3705

Date: 2016 

Document Type: Journal :  

DOI: 10.1145/2858036.2858196

Language:  

LCR: 0   CR: 22   LCS: 5   GCS: 21   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Virtual touch screen; direct-touch interaction; wearable haptic device;haptic feedback without haptic constraint

KeyWords Plus:  

Abstract: A virtual touch screen concept using an optical see-through head-mounted display has been suggested. With a virtual touch screen, the user's direct-touch interactions are allowed in much the same way as a conventional touch screen, but the absence of haptic feedback and physical constraint leads to poor user performance. To overcome this issue, we developed a wearable haptic device, called HapThimble. It provides various types of haptic feedback (tactile, pseudoforce, and vibrotactile) to the user's fingertip and mimics physical buttons based on force-penetration depth curves. We conducted three experiments with HapThimble. The first experiment confirmed that HapThimble could increase a users' performance when conducting clicking and dragging tasks. The second experiment revealed that users could differentiate between six types of haptic feedback, rendered based on different force-penetration depth curves obtained using HapThimble. Last, we conducted a test to investigate the similarity between the physical buttons and the mimicked haptic buttons and obtained a 90.3% success rate. 
"
43,kim2016hapthimble,2016,Fine roughness,Static contact,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://doi.org/10.1145/2858036.2858196,ACM CHI,"HapThimble: A Wearable Haptic Device towards Usable Virtual Touch Screen

Source: 34TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, CHI 2016 0: 3694-3705

Date: 2016 

Document Type: Journal :  

DOI: 10.1145/2858036.2858196

Language:  

LCR: 0   CR: 22   LCS: 5   GCS: 21   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Virtual touch screen; direct-touch interaction; wearable haptic device;haptic feedback without haptic constraint

KeyWords Plus:  

Abstract: A virtual touch screen concept using an optical see-through head-mounted display has been suggested. With a virtual touch screen, the user's direct-touch interactions are allowed in much the same way as a conventional touch screen, but the absence of haptic feedback and physical constraint leads to poor user performance. To overcome this issue, we developed a wearable haptic device, called HapThimble. It provides various types of haptic feedback (tactile, pseudoforce, and vibrotactile) to the user's fingertip and mimics physical buttons based on force-penetration depth curves. We conducted three experiments with HapThimble. The first experiment confirmed that HapThimble could increase a users' performance when conducting clicking and dragging tasks. The second experiment revealed that users could differentiate between six types of haptic feedback, rendered based on different force-penetration depth curves obtained using HapThimble. Last, we conducted a test to investigate the similarity between the physical buttons and the mimicked haptic buttons and obtained a 90.3% success rate. 
"
44,chinello2015design,2015,Fine roughness,Lateral motion,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://doi.org/10.1145/2858036.2858196,ACM CHI,"Design and development of a 3RRS wearable fingertip cutaneous device

Source: 2015 IEEE/ASME INTERNATIONAL CONFERENCE ON ADVANCED INTELLIGENT MECHATRONICS (AIM) 42: 293-298

Date: 2015 

Document Type: Journal :  

DOI:  

Language:  

LCR: 0   CR: 12   LCS: 0   GCS: 25   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords:  

KeyWords Plus:  

Abstract: Wearable technologies are gaining great popularity in the recent years. The demand for devices that are lightweight and compact challenges researchers to pursue innovative solutions to make existing technologies more portable and wearable. In this paper we present a novel wearable cutaneous fingertip device with 3 degrees of freedom. It is composed of two parallel platforms: the upper body is fixed on the back of the finger, housing three small servo motors, and the mobile end-effector is in contact with the volar surface of the fingertip. The two platforms are connected by three articulated legs, actuated by the motors in order to move the mobile platform toward the users fingertip and re-angle it to simulate contacts with arbitrarily oriented surfaces. Each leg is composed of two rigid links, connected to each other and then to the platforms, according to a RRS (Revolute-Revolute-Spherical) kinematic chain. With respect to other similar cable-driven devices presented in the literature, this device solves the indeterminacy due to the underactuation of the platform. This work presents the main design steps for the development of the wearable display, along with its kinematics, quasi-static modeling, and control. In particular, we analyzed the relationship between device performance and its main geometrical parameters. A perceptual experiment shows that the cutaneous device is able to effectively render different platform configurations. 
"
44,chinello2015design,2015,Fine roughness,Static contact,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://ieeexplore.ieee.org/document/7222547,IEEE AIM,"Design and development of a 3RRS wearable fingertip cutaneous device

Source: 2015 IEEE/ASME INTERNATIONAL CONFERENCE ON ADVANCED INTELLIGENT MECHATRONICS (AIM) 42: 293-298

Date: 2015 

Document Type: Journal :  

DOI:  

Language:  

LCR: 0   CR: 12   LCS: 0   GCS: 25   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords:  

KeyWords Plus:  

Abstract: Wearable technologies are gaining great popularity in the recent years. The demand for devices that are lightweight and compact challenges researchers to pursue innovative solutions to make existing technologies more portable and wearable. In this paper we present a novel wearable cutaneous fingertip device with 3 degrees of freedom. It is composed of two parallel platforms: the upper body is fixed on the back of the finger, housing three small servo motors, and the mobile end-effector is in contact with the volar surface of the fingertip. The two platforms are connected by three articulated legs, actuated by the motors in order to move the mobile platform toward the users fingertip and re-angle it to simulate contacts with arbitrarily oriented surfaces. Each leg is composed of two rigid links, connected to each other and then to the platforms, according to a RRS (Revolute-Revolute-Spherical) kinematic chain. With respect to other similar cable-driven devices presented in the literature, this device solves the indeterminacy due to the underactuation of the platform. This work presents the main design steps for the development of the wearable display, along with its kinematics, quasi-static modeling, and control. In particular, we analyzed the relationship between device performance and its main geometrical parameters. A perceptual experiment shows that the cutaneous device is able to effectively render different platform configurations. 
"
45,kim2021heterogeneous,2021,Shape,Function test,Vibration,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Spatial distribution of simple actuators,https://ieeexplore.ieee.org/document/7222547,IEEE AIM,Heterogeneous Stroke: Using Unique Vibration Cues to Improve the Wrist-Worn Spatiotemporal Tactile Display
46,yoshida2020pocopo,2020,Macro roughness,Static contact,Partial proximate objects,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,Spatial distribution of simple actuators,https://dl.acm.org/doi/10.1145/3411764.3445448,ACM CHI,PoCoPo: Handheld Pin-Based Shape Display for Haptic Rendering in Virtual Reality
46,yoshida2020pocopo,2020,Shape,Static contact,Partial proximate objects,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,Spatial distribution of simple actuators,https://doi.org/10.1145/3313831.3376358,ACM CHI,PoCoPo: Handheld Pin-Based Shape Display for Haptic Rendering in Virtual Reality
47,bianchi2016wearable,2016,Hardness,Pressure,Partial proximate objects,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,NA,https://doi.org/10.1145/3313831.3376358,ACM CHI,A Wearable Fabric-based Display for Haptic Multi-Cue Delivery
47,bianchi2016wearable,2016,Hardness,Pressure,Partial proximate objects,Grounding-on-one-body-part,Worn,Material-flexibility-based Mechs,NA,https://doi.org/10.1145/3313831.3376358,ACM CHI,A Wearable Fabric-based Display for Haptic Multi-Cue Delivery
48,mazursky2021magnetio,2021,Abstracted,Function test,Vibration,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,NA,https://ieeexplore.ieee.org/document/7463190,IEEE HAPTICS,MagnetIO: Passive yet Interactive Soft Haptic Patches Anywhere
49,nakanishi2014remote,2014,NA,NA,Whole proximate objects,Grounding-off-body,Encountered,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://dl.acm.org/doi/10.1145/3411764.3445543,ACM CHI,Remote handshaking: touch enhances video-mediated social telepresence
50,young2021ungrounded,2021,Shape,Static contact,Vibration,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://dl.acm.org/doi/abs/10.1145/2556288.2557169,ACM CHI,Ungrounded Vari-Dimensional Tactile Fingertip Feedback for Virtual Object Interaction
50,young2021ungrounded,2021,Shape,Pressure,Vibration,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://ieeexplore.ieee.org/document/8643741,IEEE Transactions on Industrial Electronics,Ungrounded Vari-Dimensional Tactile Fingertip Feedback for Virtual Object Interaction
50,young2021ungrounded,2021,Mass,Static contact,Vibration,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://doi.org/10.1145/3025453.3025744,ACM CHI,Ungrounded Vari-Dimensional Tactile Fingertip Feedback for Virtual Object Interaction
50,young2021ungrounded,2021,Mass,Pressure,Vibration,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://doi.org/10.1145/3025453.3025744,ACM CHI,Ungrounded Vari-Dimensional Tactile Fingertip Feedback for Virtual Object Interaction
51,yun2019soft,2020,NA,NA,Force/deformations on the skin,Grounding-on-multiple-body-parts,Encountered,Electrostatic Mechs,Spatial distribution of simple actuators,https://doi.org/10.1145/3025453.3025744,ACM CHI,"A Soft and Transparent Visuo-Haptic Interface Pursuing Wearable Devices

Source: IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS 67: 717-724

Date: 2020 

Document Type: Journal :  

DOI: 10.1109/TIE.2019.2898620

Language:  

LCR: 0   CR: 19   LCS: 2   GCS: 2   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Flexible; haptic; soft; transparent; visuo-haptic

KeyWords Plus:  

Abstract: In this paper, we report an integrated soft and transparent visuo-haptic interface, which is compatible with flexible devices and wearable gadgets. The visuo-haptic interface is composed of a touch-sensitive visual display based on polymer waveguides and a dielectric elastomer microactuators (DEMA) array. The touch-sensitive visual display, formed via continuative multistep photolithography, is a multilayered structure with a tactile-sensing layer stacked onto a visual-imaging layer. The dual-functional layer is thin (total thickness: <200 mu m) and transparent (transmittance: as high as 90%). The DEMA forming a unit cell of the array is designed as multiple three-dimensional structures with silver nanowires (AgNWs) compliant electrode. When an electric voltage is applied across compliant electrodes formed on the sides, individual microactuators expand directly in an upward direction. Thanks to the vertically deformable design, the DEMA produces programmable large normal forces up to about 30 times of thresholds at a localized area. An output force response of the DEMA is reversible, fast (<1 ms delay), durable (output force degradation: <8% during a million cycles), and large enough to be used in human tactile interfaces. Due to the synergetic benefits from the functional layers, the visuo-haptic interface allows demonstration of programmable tactile response with visual information while being intimately attached on human skin.


Cited References: 
"
52,schorr2017fingertip,2017,Fine roughness,Pressure,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://doi.org/10.1145/3025453.3025744,ACM CHI,"Fingertip Tactile Devices for Virtual Object Manipulation and Exploration

Source: PROCEEDINGS OF THE 2017 ACM SIGCHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI'17) 51: 3115-3119

Date: 2017 

Document Type: Journal :  

DOI: 10.1145/3025453.3025744

Language:  

LCR: 0   CR: 15   LCS: 0   GCS: 41   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Haptics; Virtual Reality; Mass Perception

KeyWords Plus:  

Abstract: One of the main barriers to immersivity during object manipulation in virtual reality is the lack of realistic haptic feedback. Our goal is to convey compelling interactions with virtual objects, such as grasping, squeezing, pressing, lifting, and stroking, without requiring a bulky, world-grounded kinesthetic feedback device (traditional haptics) or the use of predetermined passive objects (haptic retargeting). To achieve this, we use a pair of finger-mounted haptic feedback devices that deform the skin on the fingertips to convey cutaneous force information from object manipulation. We show that users can perceive differences in virtual object weight and that they apply increasing grasp forces when lifting virtual objects as rendered mass is increased. Moreover, we show how naive users perceive changes of a virtual objects physical properties when we use skin deformation to render objects with varying mass, friction, and stiffness. These studies demonstrate that fingertip skin deformation devices can provide a compelling haptic experience appropriate for virtual reality scenarios involving object manipulation. 
"
52,schorr2017fingertip,2017,Fine roughness,Unsupported holding,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://doi.org/10.1145/3025453.3025744,ACM CHI,"Fingertip Tactile Devices for Virtual Object Manipulation and Exploration

Source: PROCEEDINGS OF THE 2017 ACM SIGCHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI'17) 51: 3115-3119

Date: 2017 

Document Type: Journal :  

DOI: 10.1145/3025453.3025744

Language:  

LCR: 0   CR: 15   LCS: 0   GCS: 41   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Haptics; Virtual Reality; Mass Perception

KeyWords Plus:  

Abstract: One of the main barriers to immersivity during object manipulation in virtual reality is the lack of realistic haptic feedback. Our goal is to convey compelling interactions with virtual objects, such as grasping, squeezing, pressing, lifting, and stroking, without requiring a bulky, world-grounded kinesthetic feedback device (traditional haptics) or the use of predetermined passive objects (haptic retargeting). To achieve this, we use a pair of finger-mounted haptic feedback devices that deform the skin on the fingertips to convey cutaneous force information from object manipulation. We show that users can perceive differences in virtual object weight and that they apply increasing grasp forces when lifting virtual objects as rendered mass is increased. Moreover, we show how naive users perceive changes of a virtual objects physical properties when we use skin deformation to render objects with varying mass, friction, and stiffness. These studies demonstrate that fingertip skin deformation devices can provide a compelling haptic experience appropriate for virtual reality scenarios involving object manipulation. 
"
52,schorr2017fingertip,2017,Hardness,Pressure,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://doi.org/10.1145/3025453.3025744,ACM CHI,"Fingertip Tactile Devices for Virtual Object Manipulation and Exploration

Source: PROCEEDINGS OF THE 2017 ACM SIGCHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI'17) 51: 3115-3119

Date: 2017 

Document Type: Journal :  

DOI: 10.1145/3025453.3025744

Language:  

LCR: 0   CR: 15   LCS: 0   GCS: 41   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Haptics; Virtual Reality; Mass Perception

KeyWords Plus:  

Abstract: One of the main barriers to immersivity during object manipulation in virtual reality is the lack of realistic haptic feedback. Our goal is to convey compelling interactions with virtual objects, such as grasping, squeezing, pressing, lifting, and stroking, without requiring a bulky, world-grounded kinesthetic feedback device (traditional haptics) or the use of predetermined passive objects (haptic retargeting). To achieve this, we use a pair of finger-mounted haptic feedback devices that deform the skin on the fingertips to convey cutaneous force information from object manipulation. We show that users can perceive differences in virtual object weight and that they apply increasing grasp forces when lifting virtual objects as rendered mass is increased. Moreover, we show how naive users perceive changes of a virtual objects physical properties when we use skin deformation to render objects with varying mass, friction, and stiffness. These studies demonstrate that fingertip skin deformation devices can provide a compelling haptic experience appropriate for virtual reality scenarios involving object manipulation. 
"
