ID,Name,Title,Paper link,Year,Venue,Sensations,Manipulations,Stimuli,Grounding Methods,Stimulating Methods,Source to Mechanical Mechanisms,Simple to Complex Mechanisms
66,han2018hydroring,HydroRing: Supporting Mixed Reality Haptics Using Liquid Flow,"@inproceedings{10.1145/3242587.3242667,
author = {Han, Teng and Anderson, Fraser and Irani, Pourang and Grossman, Tovi},
title = {HydroRing: Supporting Mixed Reality Haptics Using Liquid Flow},
year = {2018},
isbn = {9781450359481},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3242587.3242667 },
doi = {10.1145/3242587.3242667},
booktitle = {Proceedings of the 31st Annual ACM Symposium on User Interface Software and Technology},
pages = {913–925},
numpages = {13},
keywords = {ubiquitous interaction, mixed reality, haptics},
location = {Berlin, Germany},
series = {UIST ’18}
}
  
",2018,ACM UIST,NA,NA,"Vibration, Force/deformations on the skin",Grounding-on-one-body-part,Worn,Existing devices,NA
67,han2020hapbead,HapBead: On-Skin Microfluidic Haptic Interface Using Tunable Bead,"@inproceedings{10.1145/3313831.3376190,
author = {Han, Teng and Bansal, Shubhi and Shi, Xiaochen and Chen, Yanjun and Quan, Baogang and Tian, Feng and Wang, Hongan and Subramanian, Sriram},
title = {HapBead: On-Skin Microfluidic Haptic Interface Using Tunable Bead},
year = {2020},
isbn = {9781450367080},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3313831.3376190 },
doi = {10.1145/3313831.3376190},
booktitle = {Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems},
pages = {1–10},
numpages = {10},
keywords = {haptics, wearable devices, fluid flow, microfluidics},
location = {Honolulu, HI, USA},
series = {CHI ’20}
}
  
",2020,ACM CHI,NA,NA,Vibration,Grounding-on-one-body-part,Worn,Existing devices,NA
68,hamdan2019springlets,"Springlets: Expressive, Flexible and Silent On-Skin Tactile Interfaces","@inproceedings{10.1145/3290605.3300718,
author = {Hamdan, Nur Al-huda and Wagner, Adrian and Voelker, Simon and Steimle, J\""{u}rgen and Borchers, Jan},
title = {Springlets: Expressive, Flexible and Silent On-Skin Tactile Interfaces},
year = {2019},
isbn = {9781450359702},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3290605.3300718 },
doi = {10.1145/3290605.3300718},
booktitle = {Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems},
pages = {1–14},
numpages = {14},
keywords = {Shape memory alloys, wearable computing, Shape-changing, fabrication, tactile display, on-body interaction},
location = {Glasgow, Scotland Uk},
series = {CHI ’19}
}
  
",2019,ACM CHI,Abstracted,NA,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Shape memory materials,"Modularization, Spatial distribution of simple actuators"
69,ion2015skin,"Skin Drag Displays: Dragging a Physical Tactor across the User's Skin Produces a Stronger Tactile Stimulus than Vibrotactile
concept.",https://doi.org/10.1145/2702123.2702459,2015,ACM CHI,Abstracted,NA,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
70,tseng2020skin,A Skin-Stroke Display on the Eye-Ring Through Head-Mounted Displays,https://doi.org/10.1145/3313831.3376700,2020,ACM CHI,Abstracted,NA,NA,Grounding-on-one-body-part,Worn,Existing devices,Spatial distribution of simple actuators
71,je2018pokering,PokeRing: Notifications by Poking Around the Finger,https://doi.org/10.1145/3173574.3174116,2018,ACM CHI,Abstracted,NA,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Spatial distribution of simple actuators
72,pece2017magtics,MagTics: Flexible and Thin Form Factor Magnetic Actuators for Dynamic and Wearable Haptic Feedback,https://doi.org/10.1145/3126594.3126609,2017,ACM UIST,Abstracted,NA,Force/deformations on the skin,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Spatial distribution of simple actuators
73,gallo2015flexible,"A flexible multimodal tactile display for delivering Shape and material information
","@article{gallo2015flexible,
  title={A flexible multimodal tactile display for delivering Shape and material information},
  author={Gallo, Simon and Son, Choonghyun and Lee, Hyunjoo Jenny and Bleuler, Hannes and Cho, Il-Joo},
  journal={Sensors and Actuators A: Physical},
  volume={236},
  pages={180--189},
  year={2015},
  publisher={Elsevier}
  url={https://www.sciencedirect.com/science/article/abs/pii/S0924424715302090#:~:text=The%20proposed%20multimodal%20tactile%20display,patterns%20to%20the%20operator's%20skin.&text=The%20tactile%20module%20consists%20of,array%20of%20four%20tactile%20cells.}} ",2015,Sensors and Actuators A: Physical,"Hardness, Shape",NA,Whole proximate objects,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Spatial distribution of simple actuators
74,phung2015tactile,Tactile display with rigid coupling based on soft actuator,https://link.springer.com/article/10.1007/s11012-015-0270-5#citeas,2015,Soft Mechatronics,NA,NA,"Vibration, Force/deformations on the skin",Grounding-on-one-body-part,Encountered,Electrostatic Mechs,NA
75,marette2017flexible,"Flexible Zinc-Tin Oxide Thin Film Transistors Operating at 1 kV for Integrated Switching of Dielectric Elastomer Actuators Arrays
",https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201700880,2017,Advanced Materials,NA,NA,Partial proximate objects,Grounding-on-one-body-part,Encountered,Electrostatic Mechs,Spatial distribution of simple actuators
76,chen2019development,Development of a Multidirectional Controlled Small-Scale Spherical MR Actuator for Haptic Applications,https://ieeexplore.ieee.org/abstract/document/8713412,2019,IEEE/ASME Transactions on Mechatronics,NA,NA,Partial proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Electromagnetic Mechs,NA
77,vazquez20153d,3D Printing Pneumatic Device Controls with Variable Activation Force Capabilities,"@inproceedings{10.1145/2702123.2702569,
author = {V\'{a}zquez, Marynel and Brockmeyer, Eric and Desai, Ruta and Harrison, Chris and Hudson, Scott E.},
title = {3D Printing Pneumatic Device Controls with Variable Activation Force Capabilities},
year = {2015},
isbn = {9781450331456},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/2702123.2702569 },
doi = {10.1145/2702123.2702569},
booktitle = {Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems},
pages = {1295–1304},
numpages = {10},
keywords = {3d printing, haptics, rapid fabrication, physical interfaces, pneumatics},
location = {Seoul, Republic of Korea},
series = {CHI ’15}
}
  
",2015,ACM CHI,Mechanical Mechs,NA,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Existing devices,NA
78,chang2020kirigami,Kirigami Haptic Swatches: Design Methods for Cut-and-Fold Haptic Feedback Mechanisms,"@inproceedings{10.1145/3313831.3376655,
author = {Chang, Zekun and Ta, Tung D. and Narumi, Koya and Kim, Heeju and Okuya, Fuminori and Li, Dongchi and Kato, Kunihiro and Qi, Jie and Miyamoto, Yoshinobu and Saito, Kazuya and Kawahara, Yoshihiro},
title = {Kirigami Haptic Swatches: Design Methods for Cut-and-Fold Haptic Feedback Mechanisms},
year = {2020},
isbn = {9781450367080},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3313831.3376655 },
doi = {10.1145/3313831.3376655},
booktitle = {Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems},
pages = {1–12},
numpages = {12},
keywords = {design methods, computational fabrication, paper button, haptics, Kirigami structure},
location = {Honolulu, HI, USA},
series = {CHI ’20}
}
  
",2020,ACM CHI,Mechanical Mechs,NA,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Structural-flexibility-based Mechs,Modularization
79,kato2018double,Double-Sided Printed Tactile Display with Electro Stimuli and Electrostatic Forces and Its Assessment,"@inproceedings{10.1145/3173574.3174024,
author = {Kato, Kunihiro and Ishizuka, Hiroki and Kajimoto, Hiroyuki and Miyashita, Homei},
title = {Double-Sided Printed Tactile Display with Electro Stimuli and Electrostatic Forces and Its Assessment},
year = {2018},
isbn = {9781450356206},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3173574.3174024 },
doi = {10.1145/3173574.3174024},
booktitle = {Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems},
pages = {1–12},
numpages = {12},
keywords = {tactile display, electrical stimulus, electrostatic force, multiple stimuli, conductive ink, double-sided printing},
location = {Montreal QC, Canada},
series = {CHI ’18}
}
  
",2018,ACM CHI,Fine roughness,Lateral motion,NA,Grounding-on-one-body-part,Worn,Electrostatic Mechs,NA
80,zheng2019mechamagnets,Mechamagnets: Designing and Fabricating Haptic and Functional Physical Inputs with Embedded Magnets,"@inproceedings{10.1145/3294109.3295622,
author = {Zheng, Clement and Kim, Jeeeun and Leithinger, Daniel and Gross, Mark D. and Do, Ellen Yi-Luen},
title = {Mechamagnets: Designing and Fabricating Haptic and Functional Physical Inputs with Embedded Magnets},
year = {2019},
isbn = {9781450361965},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3294109.3295622 },
doi = {10.1145/3294109.3295622},
booktitle = {Proceedings of the Thirteenth International Conference on Tangible, Embedded, and Embodied Interaction},
pages = {325–334},
numpages = {10},
keywords = {prototyping, haptics, magnets, 3d printing, fabrication},
location = {Tempe, Arizona, USA},
series = {TEI ’19}
}
  
",2019,ACM TEI,Mechanical Mechs,NA,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Magnetic force,Modularization
81,ogata2015fluxpaper,FluxPaper: Reinventing Paper with Dynamic Actuation Powered by Magnetic Flux,"@inproceedings{10.1145/2702123.2702516,
author = {Ogata, Masa and Fukumoto, Masaaki},
title = {FluxPaper: Reinventing Paper with Dynamic Actuation Powered by Magnetic Flux},
year = {2015},
isbn = {9781450331456},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/2702123.2702516 },
doi = {10.1145/2702123.2702516},
booktitle = {Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems},
pages = {29–38},
numpages = {10},
keywords = {active paper, paper interaction, Shape-changing, magnetic flux},
location = {Seoul, Republic of Korea},
series = {CHI ’15}
}
",2015,ACM CHI,Mechanical Mechs,NA,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Magnetic force,NA
82,yasu2019magnetact,Magnetact: Magnetic-Sheet-Based Haptic Interfaces for Touch Devices,"@inproceedings{10.1145/3290605.3300470,
author = {Yasu, Kentaro},
title = {Magnetact: Magnetic-Sheet-Based Haptic Interfaces for Touch Devices},
year = {2019},
isbn = {9781450359702},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3290605.3300470 },
doi = {10.1145/3290605.3300470},
booktitle = {Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems},
articleno = {Paper 240},
numpages = {8},
keywords = {magnet, interface, rapid prototyping, tangible, touch display, diy, haptic},
location = {Glasgow, Scotland Uk},
series = {CHI ’19}
}
",2019,ACM CHI,Mechanical Mechs,NA,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Magnetic force,Modularization
83,ogata2018magneto,Magneto-Haptics: Embedding Magnetic Force Feedback for Physical Interactions,"@inproceedings{10.1145/3242587.3242615,
author = {Ogata, Masa},
title = {Magneto-Haptics: Embedding Magnetic Force Feedback for Physical Interactions},
year = {2018},
isbn = {9781450359481},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3242587.3242615 },
doi = {10.1145/3242587.3242615},
booktitle = {Proceedings of the 31st Annual ACM Symposium on User Interface Software and Technology},
pages = {737–743},
numpages = {7},
keywords = {haptic feedback, physical interaction, magneto-haptics, permanent magnet, magnetism},
location = {Berlin, Germany},
series = {UIST ’18}
}
  
",2018,ACM UIST,Mechanical Mechs,NA,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Magnetic force,Spatial distribution of simple actuators
84,yasu2017magnetic,Magnetic Plotter: A Macrotexture Design Method Using Magnetic Rubber Sheets,"@inproceedings{10.1145/3025453.3025702,
author = {Yasu, Kentaro},
title = {Magnetic Plotter: A Macrotexture Design Method Using Magnetic Rubber Sheets},
year = {2017},
isbn = {9781450346559},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3025453.3025702},
doi = {10.1145/3025453.3025702},
booktitle = {Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems},
pages = {4983–4993},
numpages = {11},
keywords = {rapid prototyping, diy, magnets, digital fabrication, interactive devices, home, haptic, tactile},
location = {Denver, Colorado, USA},
series = {CHI ’17}
}
  
",2017,ACM CHI,Mechanical Mechs,NA,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Magnetic force,NA
85,yasu2020magnelayer,MagneLayer: Force Field Fabrication by Layered Magnetic Sheets,"@inproceedings{10.1145/3313831.3376552,
author = {Yasu, Kentaro},
title = {MagneLayer: Force Field Fabrication by Layered Magnetic Sheets},
year = {2020},
isbn = {9781450367080},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3313831.3376552 },
doi = {10.1145/3313831.3376552},
booktitle = {Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems},
pages = {1–9},
numpages = {9},
keywords = {haptic, magnet, diy, rapid prototyping, tactile, fabrication},
location = {Honolulu, HI, USA},
series = {CHI ’20}
}
  ",2020,ACM CHI,Mechanical Mechs,NA,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Magnetic force,Spatial distribution of simple actuators
86,mcintosh2019magnetips,Magnetips: Combining Fingertip Tracking and Haptic Feedback for Around-Device Interaction,https://doi.org/10.1145/3290605.3300638,2019,ACM CHI,Abstracted,NA,Force/movements across joints,Grounding-on-multiple-body-parts,Worn,Electromagnetic Mechs,NA
87,wei2020elastilinks,ElastiLinks: Force Feedback between VR Controllers with Dynamic Points of Application of Force,"@inproceedings{wei2020elastilinks,
  title={ElastiLinks: Force Feedback between VR Controllers with Dynamic Points of Application of Force},
  author={Wei, Tzu-Yun and Tsai, Hsin-Ruey and Liao, Yu-So and Tsai, Chieh and Chen, Yi-Shan and Wang, Chi and Chen, Bing-Yu},
  booktitle={Proceedings of the 33rd Annual ACM Symposium on User Interface Software and Technology},
  pages={1023--1034},
  year={2020}
}",2020,ACM UIST ,Force/motion,"Function test,Part motion test",Whole proximate objects,"Grounding-off-body, Ungrounding (handheld,portable), Grounding-on-multiple-body-parts",Grasped,"Electromagnetic Mechs,Material-flexibility-based Mechs","NA, Mechanical structures (multiple 1 Dof to a multi-Dof)"
88,chu2021motionring,MotionRing: Creating Illusory Tactile Motion around the Head using 360° Vibrotactile Headbands Shao-Yu,"@inproceedings{chu2021motionring,
  title={MotionRing: Creating Illusory Tactile Motion around the Head using 360 Vibrotactile Headbands},
  author={Chu, Shao-Yu and Cheng, Yun-Ting and Lin, Shih Chin and Huang, Yung-Wen and Chen, Yi and Chen, Mike Y},
  booktitle={The 34th Annual ACM Symposium on User Interface Software and Technology},
  pages={724--731},
  year={2021}
}",2021,ACM UIST,Haptic effects,Function test,Vibration,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Spatial distribution of simple actuators
89,dementyev2021vhp,VHP: Vibrotactile Haptics Platform for On-body Applications,"@inproceedings{dementyev2021vhp,
  title={VHP: Vibrotactile Haptics Platform for On-body Applications},
  author={Dementyev, Artem and Getreuer, Pascal and Kanevsky, Dimitri and Slaney, Malcolm and Lyon, Richard F},
  booktitle={The 34th Annual ACM Symposium on User Interface Software and Technology},
  pages={598--612},
  year={2021}
}",2021,ACM UIST ,Fine roughness,NA,Vibration,Grounding-on-one-body-part,Worn,Electromagnetic Mechs,Spatial distribution of simple actuators
90,ganet2015haptic,Haptic feedback using an all-organic electroactive polymer composite,https://www.sciencedirect.com/science/article/abs/pii/S0925400515008461,2015,Sensors and Actuators B: Chemical,NA,NA,Vibration,NA,NA,Electrostatic Mechs,Spatial distribution of simple actuators
91,kovacs2020haptic,Haptic PIVOT: On-Demand Handhelds in VR,"@inproceedings{kovacs2020haptic,
  title={Haptic pivot: On-demand handhelds in vr},
  author={Kovacs, Robert and Ofek, Eyal and Gonzalez Franco, Mar and Siu, Alexa Fay and Marwecki, Sebastian and Holz, Christian and Sinclair, Mike},
  booktitle={Proceedings of the 33rd Annual ACM Symposium on User Interface Software and Technology},
  pages={1046--1059},
  year={2020}
}",2020,ACM UIST ,"Haptic effects, Size,Mass","Unsupported holding,Enclosure,NA",Whole proximate objects,Grounding-on-multiple-body-parts,Encountered,Electromagnetic Mechs,NA
92,klamka2018pushables,Pushables: A DIY Approach for Fabricating Customizable and Self-Contained Tactile Membrane Dome Switches,"@inproceedings{10.1145/3266037.3266082,
author = {Klamka, Konstantin and Dachselt, Raimund},
title = {Pushables: A DIY Approach for Fabricating Customizable and Self-Contained Tactile Membrane Dome Switches},
year = {2018},
isbn = {9781450359498},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3266037.3266082},
doi = {10.1145/3266037.3266082},
booktitle = {The 31st Annual ACM Symposium on User Interface Software and Technology Adjunct Proceedings},
pages = {1–4},
numpages = {4},
keywords = {haptic, printed electronics, interactive paper, membrane switch, tactile, paper button, dome switch},
location = {Berlin, Germany},
series = {UIST ’18 Adjunct}
}
  
",2018,ACM UIST,Mechanical Mechs,Pressure,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Material-flexibility-based Mechs,NA
93,preechayasomboon2020chasm,Chasm: A Screw Based Expressive Compact Haptic Actuator,"@inproceedings{10.1145/3313831.3376512,
author = {Preechayasomboon, Pornthep and Israr, Ali and Samad, Majed},
title = {Chasm: A Screw Based Expressive Compact Haptic Actuator},
year = {2020},
isbn = {9781450367080},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3313831.3376512 },
doi = {10.1145/3313831.3376512},
booktitle = {Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems},
pages = {1–13},
numpages = {13},
keywords = {wearable haptics, haptic devices, handheld haptics, multidimensional haptics, skin stretch},
location = {Honolulu, HI, USA},
series = {CHI ’20}
}
  
",2020,ACM CHI,Abstracted,Pressure,"Vibration, Force/deformations on the skin","Ungrounding (handheld,portable) (handheld,portable)",Grasped,"Electromagnetic Mechs,Material-flexibility-based Mechs",Mechanical structures (multiple 1 Dof to a multi-Dof)
94,rietzler2017vair,VaiR: Simulating 3D Airflows in Virtual Reality, ,2017,ACM CHI,NA,NA,NA,Grounding-on-one-body-part,Worn,Existing devices,Spatial distribution of simple actuators
95,wang2020miniature,Miniature Haptics: Experiencing Haptic Feedback through Hand-Based and Embodied Avatars,https://doi.org/10.1145/3313831.3376292,2020,ACM CHI,NA,NA,Partial proximate objects,Grounding-off-body,Encountered,"Electromagnetic Mechs,Existing devices",NA
96,makino2016haptoclone,"HaptoClone (Haptic-Optical Clone) for Mutual Tele-Environment by Real-time 3D Image Transfer with Midair Force Feedback
",https://doi.org/10.1145/2858036.2858481,2016,ACM CHI,Abstracted,Static contact,Vibration,Grounding-off-body,Encountered,Existing devices,NA
97,korres2016haptogram,Haptogram: Ultrasonic Point-Cloud Tactile Stimulation,"@ARTICLE{7565473,  author={G. {Korres} and M. {Eid}},  journal={IEEE Access},   title={Haptogram: Ultrasonic Point-Cloud Tactile Stimulation},   year={2016},  volume={4},  number={},  pages={7758-7769}, url={https://ieeexplore.ieee.org/document/7565473}} ",2016,IEEE ACCESS,Shape,Scanning,Vibration,Grounding-off-body,Encountered,Existing devices,NA
98,freeman2019enhancing,Enhancing physical objects with actuated levitating particles,https://doi.org/10.1145/3321335.3324939,2019,ACM PerDis,NA,Scanning,NA,Grounding-off-body,Encountered,Electromagnetic Mechs,NA
99,pittera2019creating,Creating an Illusion of Movement between the Hands Using Mid-Air Touch,"@ARTICLE{8633421,  author={D. {Pittera} and D. {Ablart} and M. {Obrist}},  journal={IEEE Transactions on Haptics},   title={Creating an Illusion of Movement between the Hands Using Mid-Air Touch},   year={2019},  volume={12},  number={4},  pages={615-623},}",2019,IEEE Transactions on Haptics,Abstracted,NA,Vibration,Grounding-off-body,Encountered,Existing devices,NA
100,ito2019midair,Midair Click of Dual-Layer Haptic Button,"@INPROCEEDINGS{8816101,  author={M. {Ito} and Y. {Kokumai} and H. {Shinoda}},  booktitle={2019 IEEE World Haptics Conference (WHC)},   title={Midair Click of Dual-Layer Haptic Button},   year={2019},  volume={},  number={},  pages={349-352},}",2019,IEEE WHC,Mechanical Mechs,Pressure,Vibration,Grounding-off-body,Encountered,Existing devices,NA
101,barreiro2019ultrasound,Ultrasound Rendering of Tactile Interaction with Fluids,https://ieeexplore.ieee.org/document/8816137/,2019,IEEE WHC,NA,NA,Partial proximate objects,Grounding-off-body,Encountered,Existing devices,NA
102,ablart2019using,Using Ultrasonic Mid-air Haptic Patterns in Multi-Modal User Experiences,https://ieeexplore.ieee.org/document/8920969/,2019,IEEE HAVE,Abstracted,NA,Partial proximate objects,Grounding-off-body,Encountered,Existing devices,NA
103,sra2019adding,"Adding Proprioceptive Feedback to Virtual Reality Experiences Using Galvanic Vestibular Stimulation
Share on","@inproceedings{10.1145/3290605.3300905,
author = {Sra, Misha and Jain, Abhinandan and Maes, Pattie},
title = {Adding Proprioceptive Feedback to Virtual Reality Experiences Using Galvanic Vestibular Stimulation},
year = {2019},
isbn = {9781450359702},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3290605.3300905 },
doi = {10.1145/3290605.3300905},
abstract = {We present a small and lightweight wearable device that enhances virtual reality experiences and reduces cybersickness by means of galvanic vestibular stimulation (GVS). GVS is a specific way to elicit vestibular reflexes that has been used for over a century to study the function of the vestibular system. In addition to GVS, we support physiological sensing by connecting heart rate, electrodermal activity and other sensors to our wearable device using a plug and play mechanism. An accompanying Android app communicates with the device over Bluetooth (BLE) for transmitting the GVS stimulus to the user through electrodes attached behind the ears. Our system supports multiple categories of virtual reality applications with different types of virtual motion such as driving, navigating by flying, teleporting, or riding. We present a user study in which participants (N = 20) experienced significantly lower cybersickness when using our device and rated experiences with GVS-induced haptic feedback as significantly more immersive than a no-GVS baseline.},
booktitle = {Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems},
pages = {1–14},
numpages = {14},
keywords = {interaction design, galvanic vestibular stimulation, wearables, cybersickness, virtual reality, haptic feedback},
location = {Glasgow, Scotland Uk},
series = {CHI '19}
}",2019,ACM CHI,Haptic effects,NA,NA,Grounding-on-one-body-part,Worn,NA,NA
104,boldu2019m,M-Hair: Creating Novel Tactile Feedback by Augmenting the Body Hair to Respond to Magnetic Field,"@inproceedings{10.1145/3332165.3347955,
author = {Boldu, Roger and Jain, Sambhav and Forero Cortes, Juan Pablo and Zhang, Haimo and Nanayakkara, Suranga},
title = {M-Hair: Creating Novel Tactile Feedback by Augmenting the Body Hair to Respond to Magnetic Field},
year = {2019},
isbn = {9781450368162},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3332165.3347955},
doi = {10.1145/3332165.3347955},
abstract = {In this paper, we present M-Hair, a novel method for providing tactile feedback by stimulating only the body hair without touching the skin. It works by applying passive magnetic materials to the body hair, which is actuated by external magnetic fields. Our user study suggested that the value of the M-hair mechanism is in inducing affective sensations such as pleasantness, rather than effectively discriminating features such as Shape, size, and direction. This work invites future research to use this method in applications that induce emotional responses or affective states, and as a research tool for investigations of this novel sensation.},
booktitle = {Proceedings of the 32nd Annual ACM Symposium on User Interface Software and Technology},
pages = {323–328},
numpages = {6},
keywords = {hair, hair interfaces, non-contact tactile stimulation, magnetic actuation},
location = {New Orleans, LA, USA},
series = {UIST '19}
}",2019,ACM UIST,Haptic effects,NA,NA,NA,Encountered,Electromagnetic Mechs,NA
105,lopes2015impacto,Impacto: Simulating Physical Impact by Combining Tactile Stimulation with Electrical Muscle Stimulation,https://doi.org/10.1145/2807442.2807443,2015,ACM UIST,Haptic effects,NA,"Force/deformations on the skin, Force/movements across joints",Grounding-on-one-body-part,Worn,Electrical muscle stimulation,NA
106,lopes2017providing,Providing Haptics to Walls & Heavy Objects in Virtual Reality by Means of Electrical Muscle Stimulation,https://doi.org/10.1145/3025453.3025600,2017,ACM CHI,Mass,NA,NA,Grounding-on-one-body-part,Worn,Electrical muscle stimulation,NA
107,spiers2016design,Design and Evaluation of Shape-Changing Haptic Interfaces for Pedestrian Navigation Assistance,https://ieeexplore.ieee.org/document/7494918,2017,IEEE Transactions on Haptics,Abstracted,NA,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Electromagnetic Mechs,NA
108,siu2020virtual,Virtual Reality Without Vision: A Haptic and Auditory White Cane to Navigate Complex Virtual Worlds,https://doi.org/10.1145/3313831.3376353,2020,ACM CHI,Shape,Tool mediated,Force/movements across joints,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,NA
109,jang2016haptic,Haptic Edge Display for Mobile Tactile Interaction,"@inproceedings{10.1145/2858036.2858264,
author = {Jang, Sungjune and Kim, Lawrence H. and Tanner, Kesler and Ishii, Hiroshi and Follmer, Sean},
title = {Haptic Edge Display for Mobile Tactile Interaction},
year = {2016},
isbn = {9781450333627},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/2858036.2858264},
doi = {10.1145/2858036.2858264},
abstract = {Current mobile devices do not leverage the rich haptic channel of information that our hands can sense, and instead focus primarily on touch based graphical interfaces. Our goal is to enrich the user experience of these devices through bi-directional haptic and tactile interactions (display and control) around the edge of hand-held devices. We propose a novel type of haptic interface, a Haptic Edge Display, consisting of actuated pins on the side of a display, to form a linear array of tactile pixels (taxels). These taxels are implemented using small piezoelectric actuators, which can be made cheaply and have ideal characteristics for mobile devices. We developed two prototype Haptic Edge Displays, one with 24 actuated pins (3.75mm in pitch) and a second with 40 pins (2.5mm in pitch). This paper describes several novel haptic interactions for the Haptic Edge Display including dynamic physical affordances, Shape display, non-dominant hand interactions, and also in-pocket ``pull' style haptic notifications. In a laboratory experiment we investigated the limits of human perception for Haptic Edge Displays, measuring the just-noticeable difference for pin width and height changes for both in-hand and simulated in-pocket conditions.},
booktitle = {Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems},
pages = {3706–3716},
numpages = {11},
keywords = {tactile display, dynamic affordance, mobile haptics},
location = {San Jose, California, USA},
series = {CHI '16}
}",2016,ACM CHI,Abstracted,NA,Partial proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Piezoelectric actuators,Spatial distribution of simple actuators
110,ryu2020elastick,ElaStick: A Handheld Variable Stiffness Display for Rendering Dynamic Haptic Response of Flexible Object,"@inproceedings{ryu2020elastick,
  title={Elastick: A handheld variable stiffness display for rendering dynamic haptic response of flexible object},
  author={Ryu, Neung and Lee, Woojin and Kim, Myung Jin and Bianchi, Andrea},
  booktitle={Proceedings of the 33rd Annual ACM Symposium on User Interface Software and Technology},
  pages={1035--1045},
  year={2020}
}",2020,ACM UIST ,Mass redistribution,Shaking,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,NA
111,tiwari2018highly,Highly Transparent and Integrable Surface Texture Change Device for Localized Tactile Feedback,https://onlinelibrary.wiley.com/doi/abs/10.1002/smll.201702312,2018,Small,Fine roughness,NA,Partial proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Encountered,Electrostatic Mechs,Spatial distribution of simple actuators
